activity_id,user_id,user_activity_type_id,day_activity,time_activity
1,1,11,1,00:10:39
2,1,11,1,00:10:39
3,1,16,1,00:12:06
4,1,16,1,00:12:37
5,1,16,1,00:13:29
6,1,16,1,00:14:14
7,1,16,1,00:14:38
8,1,16,1,00:15:37
9,1,16,1,00:16:02
10,1,16,1,00:16:23
11,1,16,1,00:16:56
12,1,16,1,00:17:28
13,1,16,1,00:18:09
14,1,16,1,00:23:44
15,1,16,1,00:24:31
16,2,11,1,00:36:27
17,2,11,1,00:36:27
18,2,16,1,00:38:01
19,2,16,1,00:38:31
20,2,16,1,00:38:59
21,2,16,1,00:39:24
22,3,11,1,00:40:29
23,3,11,1,00:40:29
24,2,16,1,00:41:12
25,3,16,1,00:43:20
26,4,11,1,00:43:23
27,4,11,1,00:43:23
28,3,16,1,00:43:48
29,3,16,1,00:44:06
30,3,16,1,00:44:19
31,3,16,1,00:44:45
32,3,16,1,00:44:59
33,2,16,1,00:45:04
34,3,16,1,00:45:11
35,3,16,1,00:45:52
36,3,16,1,00:46:14
37,2,16,1,00:46:22
38,3,16,1,00:46:26
39,3,16,1,00:46:39
40,3,16,1,00:46:49
41,2,16,1,00:46:54
42,3,16,1,00:47:05
43,3,16,1,00:47:15
44,2,16,1,00:47:27
45,3,16,1,00:47:29
46,3,16,1,00:47:50
47,3,16,1,00:48:04
48,3,16,1,00:48:14
49,3,16,1,00:48:30
50,3,16,1,00:48:53
51,3,16,1,00:49:02
52,5,11,1,00:49:10
53,5,11,1,00:49:10
54,3,16,1,00:49:18
55,3,16,1,00:49:30
56,3,16,1,00:49:42
57,3,16,1,00:49:59
58,3,16,1,00:50:19
59,3,16,1,00:50:38
60,3,16,1,00:50:51
61,3,16,1,00:51:07
62,5,16,1,00:51:10
63,5,16,1,00:51:20
64,3,16,1,00:51:32
65,3,16,1,00:51:44
66,5,16,1,00:52:02
67,3,16,1,00:52:04
68,5,16,1,00:52:17
69,3,16,1,00:52:22
70,5,16,1,00:52:32
71,5,16,1,00:52:37
72,3,16,1,00:52:38
73,5,16,1,00:52:47
74,3,16,1,00:52:49
75,5,16,1,00:52:58
76,3,16,1,00:53:03
77,3,16,1,00:53:12
78,3,16,1,00:53:25
79,3,16,1,00:53:42
80,3,16,1,00:53:55
81,3,16,1,00:54:12
82,3,16,1,00:54:30
83,5,16,1,00:54:31
84,3,16,1,00:54:45
85,5,16,1,00:54:47
86,5,16,1,00:54:50
87,3,16,1,00:55:02
88,5,16,1,00:55:06
89,3,16,1,00:55:11
90,3,16,1,00:55:18
91,5,16,1,00:55:19
92,5,16,1,00:55:29
93,5,16,1,00:55:43
94,3,16,1,00:55:48
95,5,12,1,00:55:53
96,5,12,1,00:56:13
97,5,16,1,00:56:14
98,5,12,1,00:56:16
99,5,12,1,00:56:19
100,5,12,1,00:56:26
101,5,16,1,00:56:33
102,5,12,1,00:56:40
103,5,12,1,00:56:44
104,5,12,1,00:56:47
105,5,16,1,00:56:49
106,5,12,1,00:56:51
107,5,16,1,00:57:04
108,5,16,1,00:57:10
109,5,16,1,00:57:17
110,5,16,1,00:57:34
111,5,16,1,00:57:48
112,5,16,1,00:59:14
113,5,12,1,00:59:22
114,5,12,1,00:59:26
115,5,16,1,00:59:33
116,5,12,1,00:59:39
117,5,12,1,00:59:42
118,5,12,1,00:59:45
119,5,12,1,00:59:48
120,5,16,1,00:59:50
121,5,12,1,00:59:52
122,5,12,1,00:59:54
123,5,16,1,00:59:58
124,5,16,1,01:00:11
125,5,16,1,01:01:49
126,5,12,1,01:01:55
127,5,16,1,01:02:08
128,5,16,1,01:02:16
129,5,16,1,01:02:27
130,5,16,1,01:02:35
131,5,16,1,01:02:37
132,5,12,1,01:02:52
133,5,16,1,01:02:58
134,5,12,1,01:03:04
135,5,12,1,01:04:35
136,5,16,1,01:04:38
137,5,12,1,01:04:40
138,5,12,1,01:04:52
139,5,16,1,01:06:34
140,5,12,1,01:07:03
141,5,12,1,01:07:07
142,5,16,1,01:07:14
143,5,12,1,01:07:16
144,5,12,1,01:07:31
145,5,16,1,01:07:33
146,5,12,1,01:07:37
147,5,16,1,01:07:43
148,5,16,1,01:09:22
149,5,12,1,01:09:24
150,5,12,1,01:09:34
151,5,16,1,01:09:44
152,5,12,1,01:09:47
153,5,12,1,01:09:49
154,5,16,1,01:10:03
155,5,16,1,01:10:07
156,7,11,1,01:11:14
157,7,11,1,01:11:14
158,5,16,1,01:12:50
159,5,12,1,01:13:01
160,5,12,1,01:13:04
161,5,12,1,01:13:08
162,5,16,1,01:13:17
163,11,11,1,01:18:41
164,11,11,1,01:18:42
165,5,16,1,01:23:20
166,5,16,1,01:24:53
167,5,16,1,01:25:03
168,5,16,1,01:25:22
169,5,16,1,01:26:31
170,53,11,1,01:27:54
171,53,11,1,01:27:54
172,5,16,1,01:29:20
173,53,16,1,01:29:42
174,53,12,1,01:29:48
175,53,16,1,01:29:59
176,53,16,1,01:30:15
177,5,16,1,01:33:01
178,5,16,1,01:33:17
179,5,16,1,01:33:28
180,5,16,1,01:33:37
181,5,16,1,01:33:46
182,5,16,1,01:34:00
183,5,16,1,01:34:11
184,68,11,1,01:35:19
185,68,11,1,01:35:19
186,125,11,1,01:37:29
187,125,11,1,01:37:29
188,68,12,1,01:39:09
189,125,16,1,01:39:21
190,125,16,1,01:41:22
191,125,16,1,01:41:46
192,125,16,1,01:43:09
193,125,16,1,01:43:25
194,125,16,1,01:43:45
195,68,16,1,01:44:30
196,68,16,1,01:44:49
197,68,16,1,01:45:16
198,68,16,1,01:45:40
199,68,16,1,01:45:58
200,68,16,1,01:46:22
